pname,pid,formatted_address,longitude,latitude,lnglat
中山公园,100101B2094655D465ABF5479B,湖北省武汉市江汉区中山公园,114.271702,30.581485,"114.271702,30.581485"
辛亥革命武昌起义纪念馆,100101B2094757D06FAAFA499E,湖北省武汉市武昌区辛亥革命武昌起义纪念馆,114.306470,30.542240,"114.306470,30.542240"
吉庆街美食一条街,100101B2094757D464A3FE4293,湖北省武汉市江岸区吉庆街,114.289147,30.583561,"114.289147,30.583561"
中影天河国际影城,100101B2094655D56EA2FF489A,湖北省武汉市洪山区中影天河国际影城,114.402940,30.505461,"114.402940,30.505461"
巴厘龙虾,100101B2094655D46FAAFB4692,湖北省武汉市蔡甸区巴厘龙虾,114.031028,30.575283,"114.031028,30.575283"
中国科学院武汉植物园,100101B2094757D068A6FD4498,湖北省武汉市洪山区中国科学院武汉植物园,114.422101,30.542741,"114.422101,30.542741"
翠华餐厅武汉旗舰店,100101B2094757DA6FA1FA419A,湖北省武汉市武昌区武汉旗舰店,114.343778,30.549351,"114.343778,30.549351"
VOX LIVEHOUSE 酒吧,100101B2094655D465A5F8439E,湖北省武汉市洪山区voxlivehouse,114.399824,30.511488,"114.399824,30.511488"
巨幕影城(武汉光谷广场资本大厦店),100101B2094752D06CA0F4409A,湖北省武汉市洪山区巨幕影城,114.400771,30.504671,"114.400771,30.504671"
东湖听涛风景区,100101B2094757D069A3FA489D,湖北省武汉市武昌区听涛风景区,114.375303,30.559702,"114.375303,30.559702"
华中师范大学图书馆总馆(新馆),100101B2094757D068AAF5459C,湖北省武汉市洪山区华中师范大学图书馆,114.360648,30.519775,"114.360648,30.519775"
金逸国际电影城,100101B2094655D46FABFD429F,湖北省武汉市武昌区金逸国际电影城,114.319790,30.574760,"114.319790,30.574760"
武汉纺织大学阳光校区图书馆,100101B2094757D16BA4F9429C,湖北省武汉市江夏区武汉纺织大学阳光校区图书馆,114.338605,30.377519,"114.338605,30.377519"
武汉万达瑞华酒店,100101B209475DD669ABF9419D,湖北省武汉市武昌区万达瑞华酒店,114.347295,30.552314,"114.347295,30.552314"
虎泉夜市,100101B2094655D46BAAF94593,湖北省武汉市洪山区虎泉夜市,114.368083,30.514127,"114.368083,30.514127"
常青公园,100101B2094757D069A7FE449C,湖北省武汉市江汉区常青公园,114.238380,30.619728,"114.238380,30.619728"
中南民族大学南书院,100101B2094757D06FA7FA419D,湖北省武汉市洪山区南书院,114.392271,30.486448,"114.392271,30.486448"
星巴克咖啡销品茂店,100101B2094655D56EA0FE479A,湖北省武汉市武昌区销品茂店,114.341495,30.587323,"114.341495,30.587323"
稻香,100101B2094750DB6CA0F54599,not found,not found,not found,not found
武汉万达影城春树里店,100101B2094655D56EAAFE489B,湖北省武汉市武昌区春树里店,114.360691,30.574754,"114.360691,30.574754"
亢龙太子花园酒店金融店,100101B2094757D06FA5FA4999,湖北省武汉市江汉区亢龙太子花园酒店,114.272500,30.597307,"114.272500,30.597307"
武汉新世界酒店,100101B2094655D56DA7FF489C,湖北省武汉市硚口区新世界酒店,114.265752,30.579186,"114.265752,30.579186"
四海一家武汉点,100101B2094757D16FA4F54998,湖北省武汉市江岸区四海一家,114.294001,30.590394,"114.294001,30.590394"
muse,100101B2094757D06BA0FA4792,not found,not found,not found,not found
